country,count
Afghanistan,1
Algeria,22
Argentina,324
Armenia,28
Australia,520
Austria,29797
Azerbaijan,28
Bahrain,1
Bangladesh,2
Belarus,29
Bhutan,1
Bosnia-Herzegovina,2
British Indian Ocean Territory,1
Brunei,1
Canada,4
Central African Republic,1
Chile,17
China,104
Columbia,1
Croatia,2
Cuba,1
Czech Republic,10
Denmark,2
Djibouti,1
Egypt,5
Eritrea,1
Estonia,28
Ethiopia,1
France,10
Georgia,28
Germany,34447
Greece,725
Hungary,3
India,2
Iran,132
Iraq,1
Ireland,7
Italy,31867
Japan,1
Jordan,2
Kazakhstan,29
Kenya,1
Kuwait,3
Kyrgyzstan,29
Laos,1
Latvia,28
Lebanon,4
Liberia,1
Libya,1
Lithuania,28
Malaysia,3
Maldives,1
Mali,1
Mauritania,1
Moldova,28
Montenegro,2
Morocco,1
Myanmar (Burma),1
Nepal,1
Netherlands,79
New Zealand,1306
Niger,1
Nigeria,3
North Korea,1
North Macedonia,2
Norway,1118
Oman,1
Pakistan,1
Philippines (Mindanao),1
Poland,16
Portugal,891
Qatar,2
Republic of Korea,2
Romania,1
Russia,46
Saudi Arabia,2
Serbia,2
Slovenia,2
Somalia,7
South Africa,103
Spain,37
Sri Lanka,1
Sudan,1
Syria,2
Tajikistan,29
Tanzania,1
Thailand,1
Tunisia,1
Turkey,978
Turkmenistan,29
Ukraine,28
United Arab Emirates,3
United Kingdom,10
United States of America,12773
Uzbekistan,29
Vatican,4333
Vietnam,1
Yemen,1